record_id,id,parcel,umap_x,umap_y,pca_x,pca_y,violation_type,neighborhood,year_built,property_type,date,latitude,longitude
105834,70176,2201738040,-15.921218,8.070322,1.3696784570272589,0.4927662376990384,Housing Complaints,Allston,2006.0,Residential 1-family,2023-02-06 16:32:21.437000+00:00,42.35477933962611,-71.13749606516848
174654,56021,503697000,-2.2857141,-2.456563,-4.877340569972237,0.019476109201742,Sanitation Requests,Boston,1900.0,Residential 7 or more units,2021-01-08 15:36:00+00:00,42.350789562817226,-71.09052053578964
97697,7232,103180000,2.9477074,4.8114147,0.9275965750174004,-2.3328613069826085,Housing Complaints,East Boston,1900.0,Residential 3-family,2023-05-03 17:17:00+00:00,42.38010948440763,-71.03150033764409
59039,22682,2205185000,9.933583,-0.3020953,-2.959936661762978,0.4352544564462037,Housing Complaints,Brighton,1928.0,Residential 4 or more family,2024-05-04 20:41:00+00:00,42.34829965101861,-71.15766069273938
75881,59875,704014000,-9.983131,8.200368,0.7710857128859295,-0.901408460815032,Enforcement Violations,Dorchester,1925.0,Residential 3-family,2023-11-08 00:00:00+00:00,42.31721952833188,-71.06241054831109
102923,90709,1503187000,7.839751,7.2047176,0.5751407763171695,2.532203562178558,Housing Complaints,Dorchester,1910.0,Residential 1-family,2023-03-08 07:19:00+00:00,42.3124295202685,-71.05550054326454
37413,25101,2002686000,11.097711,5.1270833,-0.4773106565871389,3.823557670053367,Housing Complaints,West Roxbury,1915.0,Residential 3-family,2024-10-27 21:44:00+00:00,42.27250964987491,-71.14584083683366
82024,39411,301349001,0.4163942,-10.751342,-5.896647268777138,-0.0369492798015453,Enforcement Violations,Boston,1900.0,Residential 4 or more family,2023-09-11 00:00:00+00:00,42.36453951810898,-71.05700042948844
92766,95389,700713000,-10.808749,0.26047206,-2.880471945602169,4.64735585829999,Enforcement Violations,South Boston,1905.0,Residential 1-family,2023-06-21 00:00:00+00:00,42.32889951909943,-71.05586050794277
69849,80594,1400953000,2.646557,7.545189,4.319343992272949,0.0795620393497789,Enforcement Violations,Dorchester,1910.0,Residential 2-family,2024-01-18 00:00:00+00:00,42.30321720450398,-71.08120647593053
57925,70143,2204996000,9.535103,-0.33095333,-3.219078596941084,-0.5733185294945997,Enforcement Violations,Brighton,1920.0,Residential 4 or more family,2024-05-15 00:00:00+00:00,42.34046965035407,-71.15564070551716
136596,52981,1400455000,2.053506,7.7419457,3.159871542574612,-0.8417873180855706,Enforcement Violations,Dorchester,1900.0,Residential 2-family,2022-03-21 00:00:00+00:00,42.31039955374672,-71.08013060295555
95427,74509,2102658000,-9.250423,-6.1935883,-1.6351606940137149,-1.1498407337047718,Enforcement Violations,Brighton,1920.0,Residential 7 or more units,2023-05-30 00:00:00+00:00,42.34243963814379,-71.14633067924815
135139,2460,1600974000,-3.0088143,5.144101,3.915159913991897,-0.0780664648803868,Enforcement Violations,Dorchester,1900.0,Residential 1-family,2022-04-09 00:00:00+00:00,42.29400952945464,-71.06138059730948
173910,98876,200835000,7.8395033,0.8075889,-3.012828351277285,3.557889848751861,Enforcement Violations,Charlestown,1860.0,Residential 1-family,2021-01-20 00:00:00+00:00,42.37962452775275,-71.0656234158553
